size_bytes,avg_alloc_time_ns
1024,188
2048,181
3072,191
4096,184
5120,187
6144,176
7168,199
8192,208
9216,185
10240,183
11264,190
12288,182
13312,171
14336,175
15360,175
16384,169
17408,173
18432,165
19456,166
20480,164
21504,166
22528,172
23552,174
24576,165
25600,165
26624,166
27648,166
28672,166
29696,160
30720,157
31744,166
32768,159
33792,156
34816,1609
35840,263
36864,159
37888,158
38912,167
39936,163
40960,166
41984,166
43008,176
44032,199
45056,201
46080,251
47104,184
48128,192
49152,177
50176,175
51200,176
52224,179
53248,184
54272,185
55296,185
56320,197
57344,186
58368,185
59392,185
60416,185
61440,185
62464,185
63488,188
64512,200
65536,186
66560,186
67584,188
68608,191
69632,182
70656,195
71680,176
72704,193
73728,175
74752,177
75776,226
76800,179
77824,182
78848,182
79872,167
80896,169
81920,166
82944,167
83968,173
84992,177
86016,166
87040,167
88064,173
89088,169
90112,166
91136,282
92160,166
93184,175
94208,176
95232,166
96256,159
97280,161
98304,159
99328,158
100352,158
101376,161
102400,158
103424,166
104448,158
105472,161
106496,160
107520,164
108544,165
109568,169
110592,167
111616,174
112640,165
113664,168
114688,166
115712,170
116736,156
117760,168
118784,158
119808,158
120832,164
121856,167
122880,158
123904,156
124928,158
125952,158
126976,157
128000,164
129024,167
130048,169
131072,157
132096,150
133120,149
134144,155
135168,149
136192,149
137216,149
138240,159
139264,151
140288,150
141312,152
142336,155
143360,157
144384,151
145408,152
146432,162
147456,148
148480,148
149504,156
150528,153
151552,147
152576,150
153600,143
154624,145
155648,143
156672,143
157696,142
158720,146
159744,143
160768,154
161792,143
162816,146
163840,144
164864,144
165888,144
166912,145
167936,217
168960,143
169984,143
171008,147
172032,142
173056,137
174080,138
175104,150
176128,138
177152,135
178176,143
179200,138
180224,137
181248,143
182272,141
183296,139
184320,138
185344,138
186368,136
187392,145
188416,139
189440,143
190464,137
191488,132
192512,134
193536,126
194560,125
195584,132
196608,142
197632,121
198656,121
199680,122
200704,121
201728,122
202752,121
203776,123
204800,121
205824,120
206848,122
207872,122
208896,122
209920,123
210944,121
211968,122
212992,126
214016,122
215040,121
216064,122
217088,122
218112,121
219136,122
220160,121
221184,126
222208,121
223232,122
224256,121
225280,122
226304,121
227328,127
228352,121
229376,121
230400,127
231424,121
232448,122
233472,121
234496,121
235520,121
236544,122
237568,126
238592,121
239616,123
240640,122
241664,121
242688,122
243712,122
244736,127
245760,126
246784,122
247808,121
248832,122
249856,121
250880,121
251904,121
252928,123
253952,121
254976,122
256000,121
257024,122
258048,120
259072,121
260096,126
261120,141
262144,121
263168,122
264192,121
265216,129
266240,122
267264,121
268288,122
269312,127
270336,122
271360,123
272384,122
273408,122
274432,127
275456,121
276480,121
277504,123
278528,120
279552,126
280576,122
281600,124
282624,128
283648,122
284672,122
285696,128
286720,149
287744,153
288768,126
289792,135
290816,126
291840,126
292864,127
293888,127
294912,125
295936,120
296960,129
297984,134
299008,127
300032,127
301056,126
302080,128
303104,139
304128,126
305152,127
306176,129
307200,127
308224,126
309248,126
310272,145
311296,133
312320,127
313344,122
314368,125
315392,121
316416,129
317440,121
318464,140
319488,122
320512,121
321536,129
322560,122
323584,122
324608,128
325632,120
326656,127
327680,122
328704,122
329728,121
330752,126
331776,121
332800,121
333824,121
334848,128
335872,121
336896,123
337920,121
338944,123
339968,120
340992,121
342016,129
343040,122
344064,121
345088,122
346112,122
347136,122
348160,121
349184,128
350208,121
351232,122
352256,121
353280,127
354304,127
355328,126
356352,132
357376,128
358400,131
359424,139
360448,137
361472,145
362496,143
363520,143
364544,155
365568,154
366592,158
367616,172
368640,166
369664,173
370688,167
371712,169
372736,166
373760,166
374784,166
375808,167
376832,167
377856,166
378880,166
379904,174
380928,166
381952,172
382976,169
384000,164
385024,158
386048,157
387072,157
388096,157
389120,158
390144,160
391168,167
392192,158
393216,157
394240,157
395264,157
396288,157
397312,165
398336,158
399360,158
400384,158
401408,157
402432,165
403456,158
404480,157
405504,367
406528,157
407552,163
408576,161
409600,165
410624,306
411648,169
412672,167
413696,169
414720,167
415744,166
416768,168
417792,166
418816,163
419840,158
420864,215
421888,186
422912,163
423936,160
424960,166
425984,152
427008,151
428032,150
429056,163
430080,152
431104,156
432128,157
433152,178
434176,158
435200,159
436224,158
437248,158
438272,148
439296,149
440320,237
441344,152
442368,164
443392,151
444416,162
445440,148
446464,149
447488,147
448512,152
449536,164
450560,161
451584,151
452608,154
453632,155
454656,149
455680,158
456704,150
457728,148
458752,150
459776,179
460800,162
461824,164
462848,151
463872,147
464896,228
465920,150
466944,150
467968,153
468992,154
470016,154
471040,163
472064,152
473088,149
474112,154
475136,145
476160,149
477184,149
478208,156
479232,212
480256,150
481280,151
482304,156
483328,150
484352,157
485376,170
486400,162
487424,158
488448,158
489472,156
490496,157
491520,159
492544,150
493568,152
494592,151
495616,151
496640,148
497664,151
498688,152
499712,151
500736,151
501760,215
502784,151
503808,143
504832,169
505856,144
506880,146
507904,152
508928,148
509952,146
510976,157
512000,149
513024,149
514048,150
515072,161
516096,149
517120,289
518144,198
519168,150
520192,158
521216,155
522240,159
523264,219
524288,185
525312,194
526336,205
527360,220
528384,217
529408,193
530432,192
531456,190
532480,186
533504,188
534528,200
535552,198
536576,210
537600,180
538624,192
539648,193
540672,196
541696,215
542720,216
543744,217
544768,218
545792,192
546816,201
547840,193
548864,188
549888,189
550912,195
551936,197
552960,202
553984,184
555008,185
556032,176
557056,177
558080,186
559104,185
560128,190
561152,185
562176,177
563200,181
564224,176
565248,182
566272,179
567296,185
568320,196
569344,178
570368,163
571392,173
572416,168
573440,170
574464,176
575488,177
576512,187
577536,180
578560,164
579584,170
580608,182
581632,178
582656,178
583680,185
584704,187
585728,188
586752,179
587776,168
588800,167
589824,186
590848,186
591872,178
592896,185
593920,180
594944,171
595968,166
596992,169
598016,176
599040,179
600064,185
601088,187
602112,193
603136,166
604160,166
605184,173
606208,158
607232,160
608256,169
609280,171
610304,170
611328,224
612352,160
613376,152
614400,149
615424,154
616448,157
617472,174
618496,176
619520,155
620544,164
621568,168
622592,173
623616,178
624640,185
625664,188
626688,178
627712,247
628736,172
629760,186
630784,170
631808,172
632832,177
633856,179
634880,197
635904,167
636928,174
637952,175
638976,186
640000,187
641024,185
642048,178
643072,184
644096,165
645120,165
646144,168
647168,175
648192,178
649216,177
650240,179
651264,190
652288,167
653312,178
654336,168
655360,169
656384,177
657408,185
658432,201
659456,187
660480,171
661504,174
662528,176
663552,178
664576,180
665600,189
666624,194
667648,194
668672,172
669696,180
670720,176
671744,178
672768,180
673792,186
674816,194
675840,189
676864,172
677888,181
678912,175
679936,176
680960,179
681984,190
683008,194
684032,228
685056,207
686080,191
687104,172
688128,169
689152,180
690176,191
691200,189
692224,199
693248,172
694272,175
695296,176
696320,191
697344,179
698368,183
699392,188
700416,185
701440,237
702464,200
703488,205
704512,177
705536,182
706560,196
707584,197
708608,345
709632,180
710656,182
711680,184
712704,184
713728,180
714752,186
715776,187
716800,195
717824,249
718848,174
719872,178
720896,178
721920,182
722944,182
723968,181
724992,215
726016,172
727040,173
728064,176
729088,177
730112,177
731136,182
732160,178
733184,179
734208,163
735232,165
736256,207
737280,199
738304,172
739328,191
740352,179
741376,179
742400,164
743424,166
744448,168
745472,175
746496,172
747520,176
748544,179
749568,178
750592,164
751616,166
752640,168
753664,169
754688,171
755712,209
756736,227
757760,226
758784,163
759808,165
760832,168
761856,170
762880,186
763904,178
764928,180
765952,197
766976,163
768000,167
769024,183
770048,191
771072,180
772096,185
773120,250
774144,250
775168,172
776192,174
777216,176
778240,193
779264,188
780288,194
781312,205
782336,216
783360,188
784384,183
785408,185
786432,187
787456,189
788480,194
789504,209
790528,230
791552,190
792576,191
793600,227
794624,197
795648,201
796672,209
797696,219
798720,236
799744,200
800768,208
801792,205
802816,208
803840,494
804864,217
805888,344
806912,235
807936,201
808960,202
809984,205
811008,206
812032,210
813056,214
814080,207
815104,207
816128,190
817152,184
818176,185
819200,277
820224,331
821248,238
822272,347
823296,276
824320,192
825344,282
826368,168
827392,170
828416,164
829440,169
830464,172
831488,184
832512,179
833536,165
834560,168
835584,170
836608,173
837632,201
838656,197
839680,232
840704,187
841728,192
842752,195
843776,205
844800,219
845824,228
846848,232
847872,222
848896,201
849920,207
850944,303
851968,221
852992,222
854016,358
855040,231
856064,257
857088,212
858112,214
859136,218
860160,219
861184,221
862208,228
863232,232
864256,220
865280,201
866304,250
867328,213
868352,208
869376,210
870400,216
871424,231
872448,257
873472,214
874496,212
875520,218
876544,225
877568,221
878592,222
879616,241
880640,245
881664,200
882688,191
883712,195
884736,215
885760,212
886784,230
887808,232
888832,250
889856,201
890880,202
891904,204
892928,201
893952,261
894976,254
896000,208
897024,279
898048,191
899072,202
900096,211
901120,212
902144,221
903168,234
904192,239
905216,231
906240,201
907264,202
908288,211
909312,231
910336,209
911360,210
912384,211
913408,221
914432,199
915456,204
916480,215
917504,221
918528,223
919552,309
920576,226
921600,220
922624,200
923648,190
924672,194
925696,196
926720,203
927744,302
928768,206
929792,240
930816,193
931840,191
932864,202
933888,189
934912,188
935936,206
936960,202
937984,196
939008,181
940032,182
941056,261
942080,217
943104,216
944128,186
945152,189
946176,202
947200,172
948224,195
949248,185
950272,185
951296,180
952320,185
953344,187
954368,186
955392,171
956416,173
957440,175
958464,177
959488,180
960512,186
961536,191
962560,200
963584,174
964608,167
965632,167
966656,174
967680,178
968704,184
969728,187
970752,188
971776,308
972800,174
973824,176
974848,179
975872,179
976896,228
977920,210
978944,206
979968,178
980992,172
982016,168
983040,173
984064,179
985088,186
986112,187
987136,186
988160,180
989184,174
990208,176
991232,177
992256,174
993280,178
994304,183
995328,179
996352,178
997376,167
998400,169
999424,172
1000448,181
1001472,176
1002496,185
1003520,187
1004544,172
1005568,173
1006592,191
1007616,175
1008640,171
1009664,184
1010688,179
1011712,178
1012736,165
1013760,268
1014784,176
1015808,169
1016832,172
1017856,177
1018880,193
1019904,190
1020928,164
1021952,165
1022976,167
1024000,169
1025024,178
1026048,176
1027072,178
1028096,179
1029120,165
1030144,165
1031168,167
1032192,169
1033216,171
1034240,177
1035264,213
1036288,179
1037312,165
1038336,172
1039360,167
1040384,179
1041408,172
1042432,193
1043456,178
1044480,6056
1045504,6618
1046528,6544
1047552,6494
1048576,6169
